,Time,ID,RSSI,PI
1511,1702045232.2317667,dd:03:16:54:f4:d0,-80,163
1512,1702045233.211621,dd:03:16:54:f4:d0,-78,163
1513,1702045236.2531855,dd:03:16:54:f4:d0,-73,163
1514,1702045245.3944097,dd:03:16:54:f4:d0,-73,163
1515,1702045248.2750874,dd:03:16:54:f4:d0,-76,163
1516,1702045252.2844155,dd:03:16:54:f4:d0,-77,163
1517,1702045253.2909465,dd:03:16:54:f4:d0,-76,163
1518,1702045254.2900224,dd:03:16:54:f4:d0,-74,163
1519,1702045259.3133197,dd:03:16:54:f4:d0,-78,163
1520,1702045260.3080494,dd:03:16:54:f4:d0,-77,163
1521,1702045264.3303754,dd:03:16:54:f4:d0,-74,163
1522,1702045265.3347054,dd:03:16:54:f4:d0,-77,163
1523,1702045266.3467991,dd:03:16:54:f4:d0,-80,163
1524,1702045267.379002,dd:03:16:54:f4:d0,-78,163
1525,1702045274.3859422,dd:03:16:54:f4:d0,-76,163
1526,1702045275.4136033,dd:03:16:54:f4:d0,-74,163
1527,1702045276.4146664,dd:03:16:54:f4:d0,-76,163
1528,1702045278.4154727,dd:03:16:54:f4:d0,-77,163
1529,1702045282.4385076,dd:03:16:54:f4:d0,-74,163
1530,1702045285.4421475,dd:03:16:54:f4:d0,-81,163
1531,1702045287.5104938,dd:03:16:54:f4:d0,-78,163
1532,1702045290.4593852,dd:03:16:54:f4:d0,-72,163
1533,1702045294.487335,dd:03:16:54:f4:d0,-75,163
1534,1702045302.5382695,dd:03:16:54:f4:d0,-74,163
1535,1702045308.5637343,dd:03:16:54:f4:d0,-73,163
1536,1702045309.5628033,dd:03:16:54:f4:d0,-75,163
1537,1702045310.5924313,dd:03:16:54:f4:d0,-73,163
1538,1702045314.585874,dd:03:16:54:f4:d0,-77,163
1539,1702045357.8731678,dd:03:16:54:f4:d0,-81,133
1540,1702045383.0793147,dd:03:16:54:f4:d0,-80,133
1541,1702045405.142814,dd:03:16:54:f4:d0,-76,163
1542,1702045407.1394382,dd:03:16:54:f4:d0,-82,133
1543,1702045407.149796,dd:03:16:54:f4:d0,-76,163
1544,1702045408.160654,dd:03:16:54:f4:d0,-77,163
